Lokasi,Kasus Tanah Negara yang Terdaftar
Kelurahan Cigereleng Kecamatan Regol,Kembar Tengah
Kecamatan Ujungberung,Ujungberung Indah
Kelirahan Antapani Wetan Kecamatan Antapani,Arjasari Antapani Wetan
Kelurahan Cipedes Kecamatan Sukajadi,Cipedes
Kelurahan Kopo Kecamatan Bojongloa Kaler,Fly Over Kopo
Cihampelas,Kesehatan 16
Kecamatan Andir,Samyudo
Kelurahan Pasirkaliki,Pasirkaliki
Kelurahan Sarijadi Kecamatan Sukasari,Sari Endah
Kelurahan Neglasari Kecamatan Cibeunying Kaler,Itenas Ð Nyi Epon
Kelurahan Cigadung Kecamatan Cibeunying Kaler,Cigadung Ð RTH
Kecamatan Cidadap,UPI
Kecamatan Gedebage,Enam Bahu Ð H. Mangsur
Kelurahan Mekarjaya Kecamatan Rancasari,SMP Negeri 48
Kelurahan Kebon Pisang Kecamatan Lengkong,Toko Sepatu Tasman
Kelurahan Kopo Kecamatan Bojongloa Kaler,Ruko Kopo Plasa
Kelurahan Cibadak Kecamatan Astana Anyar,Cibadak 202
Kelurahan Pasirluyu Kecamatan Regol,Pasirluyu
Kelurahan Rancanumpang Kecamatan Gedebage,Apep Safei Ð GBLA
Kelurahan Ciumbuleuit Kecamatan Cidadap,Punclut Ð Emen
Kecamatan Cicendo,Alun-alun Cicendo
Kelurahan Dago Kecamatan Coblong,Jalan Tembus Dago
Kelurahan Sukaluyu Kecamatan Cibeunying Kaler,Sukaluyu
Kelurahan Cigending Kecamatan Ujungberung,Cigending
Kelurahan Dago Kecamatan Sumur Bandung,Cikapayang
Kelurahan Braga Kecamatan Sumur Bandung,Braga
Kecamatan Sukasari,Setrasari
Kecamatan Ujungberung,Cilengkrang
Kelurahan Babakan Sari Kecamatan Kiaracondong,Babakansari
Kecamatan Cibiru,Sukarasa Manglayang
Sepanjang Jalan Tol,KCIC
Kecamatan Bojongloa Kidul,Leuwipanjang
Kecamatan Batununggal,Slamet Riyadi 12
Kelurahan Sarijari Kecamatan Sukasari,Sarijadi Blok 25
Kecamatan Lengkong,Mutumanikam Pualam
Kecamatan Kiaracondong,Revitalisasi Kiaracondong
Kelurahan Kebon Lega Kecamatan Bojongloa Kidul,SDN Bojongloa
GBLA Kecamatan Gedebage,Allen Almanar
Kelurahan Cigadung Kecamatan Cibeunying Kaler,SDN Cigadung 1
Kelurahan Binong Kecamatan Batununggal,SDN Binongjati
Kelurahan Kacapiring Kecamatan Batununggal,Lapangan Persib Sidoligh
Kecamatan Gedebage,Puskesos
Kelurahan Sukaluyu Kecamatan Cibeunying Kaler,Batik Kumeli 72
Kecamatan Ujungberung,TPU Pasirjati (Itar)
Kecamatan Gedebage,GBLA Ð Gerbang Merah
Kecamatan Gedebage,KCJB Blok Wates
-,Korsupgah KPK-RI
Kecamatan Regol,Lapangan Lodaya
Kelurahan Tamansari Kecamatan Regol,Tamansari (RDTS)
Kelurahan Sarijadi Kecamatan Sukasari,Sarijadi
Kecamatan Gedebage,GBLA Ð Parkir
Kecamatan Cinambo,SDN Babakan Penghulu
Kelurahan Ciateul Kecamatan Regol,Ciateul Cikawao (PLN)
Kecamatan Coblong,Cihampelas 93
Kelurahan Turangga Kecamatan Batununggal,Taman Kliningan
Kelurahan Arjuna Kecamatan Andir,SMPN 32 Jl. Arjuna
Kelurahan Sadang Serang Kecamatan Coblong,SDN 04 Langensari
Kelurahan Pasirkaliki Kecamatan Cicendo,JL. DR. Susilo 4 & 6
Kelurahan Ciateul Kecamatan Regol,JL. Inggit Garnasih 4
Kelurahan Lebak Siliwangi Kecamatan Coblong,Kebon Binatang Bandung
Kelurahan Cibaduyut Kecamatan Bojongloa Kidul,Blok Cikamandilan
Kecamatan Sumur Bandung,Taman Lalu Lintas
Kecamatan Antapani,Blok Kapas  Ð Perum Pemda/Dewan
Kecamatan Antapani,Cingised Ð Perum Pemda/Dewan